Jan;Adrianna
Adam;Agata
Kamil;Agnieszka
Jakub;Alicja
Szymon;Anna
Mateusz;Beata
Filip;Barbara
Mikolaj;Danuta
Wiktor;Daria
Maciej;Dorota
Sebastian;Edyta
Michal;Ewa
Damian;Ewelina
Daniel;Greta
Dominik;Halina
Dawid;Hanna
Kacper;Ilona
Arkadiusz;Iwona
Krzysztof;Izabella
Edward;Jadwiga
Cezary;Joanna
Krystian;Julia
Roman;Karolina
Wojciech;Kamila
Andrzej;Kinga
Marcin;Klaudia
Marcel;Magda
Mariusz;Marta
Piotr;Martyna
Robert;Michalina
Ryszard;Natalia
Tomasz;Olga
Witold;Patrycja
Zbigniew;Paulina
Zygmunt;Renata
Norbert;Sabina
Ludwik;Sandra
Kryspian;Stefania
Kasjan;Wiktoria
Kajetan;Zofia
